2009_United_Nations_Climate_Change_Conference	1360	1140
Abrupt_climate_change	338	0
Adaptation_to_global_warming	732	792
Albedo	920	0
American_Association_for_the_Advancement_of_Science	324	0
American_Geophysical_Union	207	0
Arctic_methane_release	270	292
Arid	340	36
Atlantic_multidecadal_oscillation	229	0
Atmospheric_chemistry	225	0
Atmospheric_physics	152	0
Atmospheric_sciences	198	0
Attribution_of_recent_climate_change	1177	11640
Avoiding_dangerous_climate_change	284	160
Axial_tilt	820	0
Bali_Road_Map	139	0
Biofuel	5688	4524
Black_carbon	379	126
Blue_carbon	33	0
Bond_event	172	0
Carbon_credit	859	42
Carbon_cycle	2741	1241
Carbon_dioxide	6605	48672
Carbon_dioxide_removal	195	0
Carbon_offset	1406	96
Carbon_sink	1019	0
Carbon_tax	1669	645
Carbon-neutral_fuel	234	0
Carboniferous	1286	30
Climate	2794	352
Climate_change	4041	10640
Climate_change_adaptation_in_Nepal	45	0
Climate_change_and_agriculture	685	352
Climate_change_and_ecosystems	96	0
Climate_change_and_poverty	69	0
Climate_change_denial	1578	19412
Climate_change_feedback	202	0
Climate_change_in_Africa	8	0
Climate_change_in_Australia	354	0
Climate_change_in_Bangladesh	43	0
Climate_change_in_Canada	111	0
Climate_change_in_China	147	6
Climate_change_in_Europe	35	0
Climate_change_in_Finland	30	0
Climate_change_in_Grenada	2	0
Climate_change_in_Japan	60	0
Climate_change_in_Luxembourg	7	0
Climate_change_in_New_Zealand	403	0
Climate_change_in_Norway	8	0
Climate_change_in_Scotland	52	0
Climate_change_in_South_Korea	64	0
Climate_change_in_Sweden	50	0
Climate_change_in_Tuvalu	140	0
Climate_change_in_popular_culture	189	273
Climate_change_in_the_Arctic	927	88
Climate_change_in_the_European_Union	28	0
Climate_change_in_the_United_Kingdom	117	266
Climate_change_mitigation	2070	8790
Climate_change_mitigation_scenarios	271	4020
Climate_engineering	1463	7980
Climate_oscillation	24	0
Climate_sensitivity	427	2040
Climatology	470	0
Cloud_forcing	47	0
Coal	6462	4747
Coral_reef	5278	4040
Cryosphere	335	0
Current_sea_level_rise	2372	58718
Drought	3016	3050
Drought_tolerance	30	0
Economics_of_global_warming	856	1560
Effect_of_climate_change_on_plant_biodiversity	310	6
Effects_of_climate_change_on_humans	577	2575
Effects_of_climate_change_on_marine_mammals	96	48
Effects_of_global_warming	3889	12543
Effects_of_global_warming_on_Australia	493	36
Effects_of_global_warming_on_South_Asia	245	0
Effects_of_global_warming_on_oceans	219	16
Emissions_trading	1930	126
Environmental_impact_of_aviation	450	0
Environmental_migrant	409	0
Environmental_policy	366	0
European_Climate_Change_Programme	80	0
Extinction_risk_from_global_warming	231	160
Extreme_weather	841	2272
Fisheries_and_climate_change	135	0
Forest_dieback	55	0
Fossil_fuel	5997	12412
Fossil-fuel_phase-out	693	760
G8_Climate_Change_Roundtable	31	0
Geologic_temperature_record	170	0
Geologic_time_scale	2116	2640
Glacier	4451	3729
Glacier_mass_balance	224	0
Global_climate_regime	21	0
Global_cooling	2216	119868
Global_dimming	1406	16
Global_warming	19833	7306583
Global-warming_potential	330	72
Glossary_of_climate_change	299	0
Greenhouse_effect	4913	315946
Greenhouse_gas	5454	145215
Historical_impacts_of_climate_change	86	0
History_of_the_Earth	3015	3570
Holocene	867	48
Homogenization_(climate)	21	0
Human_impact_on_the_environment	557	24
IPCC_Fourth_Assessment_Report	868	1980
IPCC_Third_Assessment_Report	80	0
Ice_sheet	310	66
Index_of_climate_change_articles	208	0
Indian_Ocean_Dipole	86	0
Individual_action_on_climate_change	25	0
Individual_and_political_action_on_climate_change	776	696
Instrumental_temperature_record	1123	17357
Intergovernmental_Panel_on_Climate_Change	2545	154889
Iris_hypothesis	92	0
James_Hansen	1592	59236
Joint_Implementation	55	0
Kyoto_Protocol	7307	80050
Land_Allocation_Decision_Support_System	59	0
Land_use,_land-use_change_and_forestry	108	160
List_of_scientists_opposing_the_mainstream_scientific_assessment_of_global_warming	3391	441612
Little_Ice_Age	1907	14784
Low-carbon_economy	585	6
Marine_terrace	52	0
Media_coverage_of_climate_change	243	231
Meteorology	2414	308
Milankovitch_cycles	885	310
National_Climate_Assessment	93	0
Natural_environment	1913	242
Nuclear_power	7579	175336
Ocean_acidification	1127	48
Orbital_forcing	76	0
Ozone_depletion	3722	3531
Pacific_decadal_oscillation	206	0
Paleoclimatology	632	190
Paleotempestology	71	0
Palynology	233	0
Physical_impacts_of_climate_change	145	16
Politics_of_global_warming	824	350
Public_opinion_on_climate_change	510	3306
Quaternary_glaciation	371	12
Radiative_forcing	294	0
Rainwater_tank	399	0
Reducing_emissions_from_deforestation_and_forest_degradation	95	0
Regime_shift	59	0
Renewable_energy	5945	20884
Retreat_of_glaciers_since_1850	1844	812
Runaway_climate_change	578	1432
Satellite_temperature_measurements	643	920
Scientific_opinion_on_climate_change	3210	122160
Sea_level	769	64
Season_creep	143	0
Shutdown_of_thermohaline_circulation	220	0
Simple_living	1451	25
Solar_variation	1265	32140
Sustainable_development	2842	588
Temperature_record	146	0
Temperature_record_of_the_past_1000_years	935	14650
Thermohaline_circulation	612	0
Thomas_Schelling	284	0
Tropical_cyclone	8642	20224
United_Kingdom_Climate_Change_Programme	178	0
United_Nations_Framework_Convention_on_Climate_Change	917	0
Urban_heat_island	1104	11645
Volcanism	165	0
Water_cycle	3219	392
Weather	3375	2368
Weather_modification	945	152
